,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S00103619,73,12,26,4,5,4,5,4,7,2,4,3,-,3,1
S00103620,85,12,38,3,3,2,9,5,5,5,3,1,-,2,1
S00103621,94,10,32,5,10,3,9,7,10,6,2,5,-,3,1
S00103622,43,5,21,4,2,1,7,1,-,1,1,-,-,-,1
S00103623,116,17,37,9,6,5,20,8,6,6,2,2,1,2,1
S00103624,90,15,34,11,-,1,21,5,-,2,1,-,-,-,-
S00103625,90,12,37,11,-,4,18,7,1,-,-,-,-,-,-
S00103626,60,8,32,8,-,2,5,-,3,1,1,-,-,-,-
S00103627,85,25,27,11,-,1,15,3,1,1,1,-,-,-,-
S00103628,48,5,17,7,4,3,4,4,1,3,-,1,-,-,2
S00103629,63,9,29,7,-,1,9,4,1,1,2,-,-,-,-
S00103630,84,17,38,4,1,2,12,8,2,-,-,-,-,-,-
S00103631,72,10,22,6,1,3,22,-,6,-,2,1,-,-,1
S00103632,84,12,28,13,1,1,23,4,1,-,1,-,1,-,1
S00103633,107,18,38,12,2,2,25,7,3,-,-,-,-,1,-
S00103634,57,12,23,4,-,1,8,5,4,-,-,-,-,-,-
S00103635,62,14,22,9,2,1,11,1,1,1,-,1,-,-,-
S00103636,85,12,41,11,4,2,6,8,1,-,-,-,2,-,4
S00103637,56,11,22,9,-,-,12,1,-,-,1,-,-,-,-
S00103638,51,6,22,8,1,1,11,1,-,1,-,-,1,-,-
S00103639,79,16,25,10,3,1,12,6,3,2,1,2,1,-,1
S00103640,57,5,19,5,3,1,13,7,3,-,1,1,-,-,-
S00103641,118,13,44,14,3,12,17,10,4,-,1,-,-,-,2
S00103642,59,13,18,8,3,6,7,3,-,-,1,1,2,-,2
S00103643,79,7,37,8,2,-,13,7,2,2,1,-,1,-,-
S00103644,67,9,28,5,-,4,8,6,4,2,1,-,-,-,-
S00103645,99,11,33,13,2,1,26,5,6,1,1,-,2,-,1
S00103646,97,13,33,13,4,2,15,8,8,-,1,-,1,-,1
S00103647,67,6,25,14,3,5,11,-,2,1,-,1,-,-,-
S00103648,39,2,23,2,2,1,6,-,2,-,1,-,1,-,1
S00103649,88,15,20,12,1,2,31,2,4,1,-,-,1,-,-
S00103650,89,9,32,10,1,9,13,6,8,1,-,-,1,-,1
S00103651,67,6,21,12,1,2,19,3,3,-,-,-,-,-,1
S00103652,75,10,34,7,1,2,13,4,2,2,-,-,-,-,1
S00103653,75,16,33,4,-,2,14,2,3,1,-,-,-,-,-
S00103654,69,9,26,13,-,-,13,4,1,2,1,-,-,-,-
S00103655,114,17,39,12,-,2,30,5,8,1,-,-,-,-,-
S00103656,111,20,37,19,1,3,21,2,5,1,2,-,-,-,-
S00103657,105,15,42,10,-,-,29,5,2,1,1,-,-,-,-
S00103658,65,3,35,11,-,-,7,3,2,1,3,-,-,-,-
S00103659,86,14,33,12,-,3,14,2,6,2,-,-,-,-,-
S00103660,72,7,38,3,3,2,9,5,3,-,2,-,1,-,1
S00103661,92,14,26,14,1,2,27,4,3,1,-,-,1,-,-
