,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group
S00107154,61,58,31,10,4,-,4,9,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107155,89,83,52,15,5,-,4,7,-,6,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107156,121,112,60,16,-,-,29,7,1,5,-,3,-,1,1,1,1,-,1,1,-,-,1,1,-
S00107157,111,102,54,8,1,1,28,10,1,8,-,2,-,-,6,-,-,-,-,-,-,-,-,-,-
S00107158,82,73,40,6,2,-,18,7,-,5,1,3,-,-,1,4,3,1,-,-,-,-,-,-,-
S00107159,86,74,45,12,3,-,8,6,2,9,5,2,-,-,2,1,1,-,-,-,-,-,-,-,-
S00107160,105,99,64,15,7,-,7,6,1,5,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-
S00107161,103,98,84,9,-,-,2,3,2,1,-,-,1,-,-,2,2,-,-,-,-,-,-,-,-
S00107162,148,139,122,7,-,-,5,5,-,9,5,-,-,2,2,-,-,-,-,-,-,-,-,-,-
S00107163,103,90,76,-,3,-,10,1,4,4,-,4,-,-,-,4,4,-,-,-,-,-,1,1,-
S00107164,61,61,59,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107165,162,157,94,10,1,-,42,10,2,2,-,-,-,2,-,-,-,-,-,-,-,-,1,-,1
S00107166,61,55,22,3,3,-,16,11,1,4,-,-,-,4,-,1,1,-,-,-,-,-,-,-,-
S00107167,56,51,42,4,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-
S00107168,60,60,39,5,2,-,10,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107169,89,88,83,4,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107170,58,58,55,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107171,117,113,103,5,2,-,-,3,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107172,74,65,57,-,-,-,6,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,6,6,-
S00107173,94,87,67,2,1,3,12,2,-,7,4,-,-,-,3,-,-,-,-,-,-,-,-,-,-
S00107174,107,101,87,4,1,-,5,4,2,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107175,140,134,129,3,-,-,1,1,1,-,-,-,-,-,-,3,3,-,-,-,-,-,2,-,2
S00107176,90,89,75,9,1,1,1,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
S00107177,76,74,58,8,1,-,1,6,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107178,61,59,57,1,-,-,-,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107179,88,87,76,4,1,-,6,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00107180,119,113,89,6,-,-,7,11,-,4,-,3,-,-,1,2,2,-,-,-,-,-,-,-,-
S00107181,63,59,53,1,1,-,2,2,-,-,-,-,-,-,-,-,-,-,3,3,-,-,1,1,-
S00107182,139,133,122,8,3,-,-,-,2,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
S00107183,54,49,42,2,-,-,3,2,1,2,-,-,-,2,-,1,-,1,1,-,1,-,-,-,-
S00107184,161,142,66,15,2,1,53,5,3,9,3,5,-,-,1,4,4,-,2,-,2,-,1,1,-
S00107185,134,126,47,5,2,-,63,9,-,4,3,1,-,-,-,2,2,-,1,1,-,-,1,1,-
S00107186,135,110,67,7,1,-,25,10,-,13,2,10,-,-,1,5,5,-,5,5,-,-,2,2,-
S00107187,185,166,149,10,-,-,-,7,-,19,6,6,1,-,6,-,-,-,-,-,-,-,-,-,-
S00107188,169,163,155,6,1,-,-,1,-,6,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00107189,75,62,49,6,-,-,5,2,-,8,8,-,-,-,-,5,5,-,-,-,-,-,-,-,-
